Personnages,Type
"Mark Watney, astronaute",Technoscience
"Martinez, astronaute",Technique
"Commandant Lewis, astronaute",Science
Beth Johanssen ,Science
"Vogel, astronaute",Science
"Beck, Docteur",Science
"Sanders, Directeur NASA",Politique
Journalistes,Indéfini
"Vincent Kapoor, Directeur mission Mars",Technique
Employés NASA,Technique
"Mind Park, Communication NASA",Technique
"Annie Montrose, Directrice Presse NASA",Indéfini
"Mitch Henderson, Directeur Vol Hermès NASA",Technique
"Bruce Ng, Directeur Laboratoire Jet Propulsion",Technique
Employés Laboratoire Jet Propulsion,Technique
Président des USA,Politique
"Rich Purnell, astrodynamique",Science
"Guo Ming, Directeur CNSA",Politique
"Zhu Tao, Vice-directrice CNSA",Politique
Famille Martinez,Indéfini
Employés CNSA,Indéfini
Mari Lewis,Indéfini
Famille Vogel,Indéfini
New-yorkais,Indéfini
Habitants de Beijing,Indéfini
Londoniens,Indéfini
Astronautes NASA,Science
